Category,Species,Variety,Size,Container,Price
Drzewa i krzewy liściaste,Tamarix parviflora (Tamaryszek),,100,3,20
Drzewa i krzewy liściaste,Tilia cordata (Lipa drobnolistna),,180-250,5,35
Drzewa i krzewy liściaste,Tilia cordata (Lipa drobnolistna),,250-300,10,90
Drzewa i krzewy liściaste,Ulmus (Wiąz),Camperdownii,Pa 200,25,220
Drzewa i krzewy liściaste,Ulmus (Wiąz),Wredeii,120-150,"7,5",60
Drzewa i krzewy liściaste,Vaccinum corymbosum (Borówka amerykańska),–w odmianach,40-60,"2,5",25
Drzewa i krzewy liściaste,Vaccinum corymbosum (Borówka amerykańska),"Blue Crop, Chandler, Elizabeth, Aino (R), Alvar (R)",60-100,5,45
Drzewa i krzewy liściaste,Viburnum opulus (Kalina koralowa),Roseum,60-80,2,20
Drzewa i krzewy liściaste,Weigela (Krzewuszka),Alexandra,30-50,2,15
Drzewa i krzewy liściaste,Weigela (Krzewuszka),Candida,30-50,2,15
Drzewa i krzewy liściaste,Weigela (Krzewuszka),Nana Variegata,30,2,15
Drzewa i krzewy liściaste,Weigela (Krzewuszka),Purpurea Nana,20-30,2,15
Drzewa i krzewy liściaste,Weigela (Krzewuszka),Red Prince,30-40,2,15
Drzewa i krzewy liściaste,Vinca major (Barwinek większy),,,2,12
Drzewa i krzewy liściaste,Yucca filamentosa (Jukka ogrodowa),,,2,20
ROŚLINY WRZOSOWATE,Andromeda (Modrzewnica),,20,2,30
ROŚLINY WRZOSOWATE,Rhododendron –,"Azalie wielkokwiatowe, w odmianach:",60-80,5,65
ROŚLINY WRZOSOWATE,Rhododendron (Azalia japońska),-w odmianach,20-40,3,30
ROŚLINY WRZOSOWATE,Rhododendron (Różanecznik),–wybór odmian:,40-60,5,75
ROŚLINY WRZOSOWATE,Pieris japonica (Pieris japoński),"Forest Flame, Mountain Fire",30-40,"2,5",30
ROŚLINY WRZOSOWATE,Leucothe (Kiścień),Rainbow,40-60,5,65
PNĄCZA,Aristolochia durior (Kokornak wielkolistny),,120,5,40
PNĄCZA,Campsis radicans (Milin amerykański),,90,3,25
PNĄCZA,Clematis (Powojnik),-w odmianach,90,2,25
PNĄCZA,Hedera helix (Bluszcz pospolity),,90,2,20
PNĄCZA,Hydrangea petiolaris (Hortensja pnąca),,100-120,3,40
PNĄCZA,Lonicera (Wiciokrzew),"Dropmore Scarlet, Goldflame",60-80,3,25
PNĄCZA,Lonicera (Wiciokrzew),Parthenocissus,quinquefolia (Winobluszcz pięciolistkowy) Murorum – „samoczepny” 100,2,15
PNĄCZA,Lonicera (Wiciokrzew),Parthenocissus,tricuspidata (Winobluszcz trójklapowy) Veitchii 100,2,20
PNĄCZA,Rosa (Róża),– odmiany pnące,,4,35
PNĄCZA,Wisteria sinensis (Glicynia chińska),"Amethyst, Caroline",150,3,80
PNĄCZA,Wisteria sinensis (Glicynia chińska),Prolific,200,5,120
RÓŻE,Róża pomarszczona (Rosa rugosa),,40-60,3,15
Byliny,Astilbe arendsii -,Tawułka Arendsa,,3,20
Byliny,Aubrieta-,Żagwin,,"0,8",12
Byliny,Brunnera,,,2,20
Byliny,Dianthus grantianopolitanus –,Goździk siny,,2,14
Byliny,Echinacea –,Jeżówka,2 –,3,20
Byliny,Eryngium planum-,Mikołajek płaskolistny,,2,20
Byliny,Geranium –,Bodziszek,,2,14
Byliny,Geum –,Kuklik,,2,20
Byliny,Hemerocallis –,Liliowiec,,2,15-20
Byliny,Heuchera-,Żurawka,,2,20
Byliny,Hosta –,Funkia,,2,20
Byliny,Kniphofia-,Trytoma groniasta,,3,20
Byliny,Lupinus –,Łubin ogrodowy,,2,16
Byliny,Lysymachia –,Tojeść kropkowana „Firecracker”,,2,15
Byliny,Lysymachia –,Tojeść rozesłana „Aurea”,,2,15
Byliny,Monarda-,Pysznogłówka,,2,16-20
Byliny,Nepeta fasseni –,Kocimiętka Fassena,,2,15
Byliny,Ophiopogon –,Konwalnik „Niger”,,1,20
Byliny,Phlox paniculata,,,2,20
Byliny,Rudbeckia nitida,,,3,20
Byliny,Salvia nemorosa –,Szałwia omszona,2 –,3,14-16
